日付,方法,カテゴリ,カテゴリの内訳,支払元,入金先,品目,メモ,お店,通貨,収入,支出,振替,残高調整,通貨変換前の金額,集計の設定
"2025-12-01","payment","住まい","家電","支払元01","-","品目01","","店舗01","JPY","0","31280","0","0","31280","常に集計に含める"
"2025-12-01","payment","その他","未分類","支払元01","-","品目02","","店舗01","JPY","0","2398","0","0","2398","常に集計に含める"
"2025-12-01","balance","-","-","-","入金先01","","","-","JPY","0","0","0","33678","33678","常に集計に含める"
"2025-12-01","payment","食費","昼ご飯","支払元02","-","","","店舗02","JPY","0","890","0","0","890","常に集計に含める"
"2025-12-01","payment","エンタメ","書籍・漫画","支払元02","-","","","店舗03","JPY","0","300","0","0","300","常に集計に含める"
"2025-12-01","payment","通信","インターネット関連費","支払元02","-","","","店舗04","JPY","0","3570","0","0","3570","常に集計に含める"
"2025-12-01","payment","通信","インターネット関連費","支払元02","-","","","店舗05","JPY","0","330","0","0","330","常に集計に含める"
"2025-12-01","payment","食費","食料品","支払元03","-","","","店舗06","JPY","0","40","0","0","40","常に集計に含める"
"2025-12-01","payment","食費","食料品","支払元03","-","","","店舗06","JPY","0","30","0","0","30","常に集計に含める"
"2025-12-01","payment","交通","電車","支払元04","-","","メモ01","店舗07","JPY","0","408","0","0","408","常に集計に含める"
"2025-12-01","payment","交通","電車","支払元04","-","","メモ02","店舗07","JPY","0","408","0","0","408","常に集計に含める"
"2025-12-02","payment","食費","食料品","支払元02","-","","","店舗08","JPY","0","563","0","0","563","常に集計に含める"
"2025-12-02","payment","エンタメ","ゲーム","支払元05","-","","","店舗09","JPY","0","3500","0","0","3500","常に集計に含める"
"2025-12-02","payment","食費","食料品","支払元03","-","","","店舗06","JPY","0","40","0","0","40","常に集計に含める"
"2025-12-02","payment","食費","食料品","支払元03","-","","","店舗06","JPY","0","40","0","0","40","常に集計に含める"
"2025-12-02","transfer","-","-","支払元02","入金先02","","","店舗10","JPY","0","0","500","0","500","集計に含めない"
"2025-12-02","payment","交通","電車","支払元04","-","","メモ01","店舗07","JPY","0","408","0","0","408","常に集計に含める"
"2025-12-02","payment","交通","電車","支払元04","-","","メモ02","店舗07","JPY","0","408","0","0","408","常に集計に含める"
"2025-12-02","transfer","-","-","支払元02","入金先03","","","店舗11","JPY","0","0","5000","0","5000","集計に含めない"
"2025-12-03","payment","その他","カードの引落","支払元06","-","","","店舗12","JPY","0","1375","0","0","1375","集計に含めない"
"2025-12-03","payment","その他","未分類","支払元07","-","","","店舗01","JPY","0","2398","0","0","2398","集計に含めない"
"2025-12-03","payment","その他","未分類","支払元07","-","","","店舗01","JPY","0","31280","0","0","31280","集計に含めない"
"2025-12-03","payment","食費","昼ご飯","支払元02","-","","","店舗13","JPY","0","660","0","0","660","常に集計に含める"
"2025-12-03","payment","食費","食料品","支払元02","-","","","店舗08","JPY","0","140","0","0","140","常に集計に含める"
"2025-12-03","payment","交通","電車","支払元04","-","","メモ03","店舗07","JPY","0","188","0","0","188","常に集計に含める"
"2025-12-03","payment","交通","電車","支払元04","-","","メモ04","店舗07","JPY","0","513","0","0","513","常に集計に含める"
"2025-12-03","payment","交通","電車","支払元04","-","","メモ05","店舗07","JPY","0","513","0","0","513","常に集計に含める"
"2025-12-03","payment","交通","電車","支払元04","-","","メモ06","店舗07","JPY","0","188","0","0","188","常に集計に含める"
"2025-12-04","payment","食費","昼ご飯","支払元02","-","","","店舗14","JPY","0","1780","0","0","1780","常に集計に含める"
"2025-12-04","payment","食費","食料品","支払元02","-","","","店舗08","JPY","0","182","0","0","182","常に集計に含める"
"2025-12-04","payment","食費","食料品","支払元02","-","","","店舗15","JPY","0","148","0","0","148","常に集計に含める"
"2025-12-04","payment","交通","電車","支払元04","-","","メモ03","店舗07","JPY","0","188","0","0","188","常に集計に含める"
"2025-12-04","payment","交通","電車","支払元04","-","","メモ04","店舗07","JPY","0","513","0","0","513","常に集計に含める"
"2025-12-04","payment","交通","電車","支払元04","-","","メモ05","店舗07","JPY","0","513","0","0","513","常に集計に含める"
"2025-12-04","payment","交通","電車","支払元04","-","","メモ06","店舗07","JPY","0","188","0","0","188","常に集計に含める"
"2025-12-05","payment","食費","食料品","支払元02","-","","","店舗16","JPY","0","1510","0","0","1510","常に集計に含める"
"2025-12-08","payment","美容・衣服","その他","支払元01","-","品目03","","店舗01","JPY","0","1411","0","0","1411","常に集計に含める"
"2025-12-08","payment","美容・衣服","その他","支払元01","-","品目03","","店舗01","JPY","0","1411","0","0","1411","常に集計に含める"
"2025-12-08","payment","その他","未分類","支払元01","-","品目04","","店舗01","JPY","0","-282","0","0","-282","常に集計に含める"
"2025-12-08","payment","税金","その他","支払元01","-","品目05","","店舗01","JPY","0","20000","0","0","20000","常に集計に含める"
